Postulante 106,ORDINARIO,6.879,NO ALCANZÓ VACANTE,FAUA
Postulante 107,ORDINARIO,4.576,NO ALCANZÓ VACANTE,FAUA
Postulante 108,ORDINARIO,6.857,NO ALCANZÓ VACANTE,FAUA
Postulante 109,ORDINARIO,10.323,NO ALCANZÓ VACANTE,FAUA
Postulante 110,ORDINARIO,4.238,NO ALCANZÓ VACANTE,FAUA
Postulante 111,ORDINARIO,0.000,NO ALCANZÓ VACANTE,FAUA
Postulante 112,ORDINARIO,3.908,NO ALCANZÓ VACANTE,FAUA
Postulante 113,ORDINARIO,6.411,NO ALCANZÓ VACANTE,FAUA
Postulante 114,ORDINARIO,3.784,NO ALCANZÓ VACANTE,FAUA
Postulante 115,ORDINARIO,12.006,NO ALCANZÓ VACANTE,FAUA
Postulante 116,ORDINARIO,4.487,NO ALCANZÓ VACANTE,FAUA
Postulante 117,ORDINARIO,8.572,NO ALCANZÓ VACANTE,FAUA
Postulante 118,ORDINARIO,9.023,NO ALCANZÓ VACANTE,FAUA
Postulante 119,ORDINARIO,6.485,NO ALCANZÓ VACANTE,FAUA
Postulante 120,ORDINARIO,0.000,NO ALCANZÓ VACANTE,FAUA
Postulante 121,ORDINARIO,6.526,NO ALCANZÓ VACANTE,FAUA
Postulante 122,ORDINARIO,4.220,NO ALCANZÓ VACANTE,FAUA
Postulante 123,ORDINARIO,10.439,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 124,ORDINARIO,5.815,NO ALCANZÓ VACANTE,FAUA
Postulante 125,ORDINARIO,6.682,NO ALCANZÓ VACANTE,FAUA
Postulante 126,ORDINARIO,6.133,NO ALCANZÓ VACANTE,FAUA
Postulante 127,ORDINARIO,10.705,NO ALCANZÓ VACANTE,FAUA
Postulante 128,ORDINARIO,3.600,NO ALCANZÓ VACANTE,FAUA
Postulante 129,ORDINARIO,4.535,NO ALCANZÓ VACANTE,FAUA
Postulante 130,ORDINARIO,5.896,NO ALCANZÓ VACANTE,FAUA
Postulante 131,ORDINARIO,5.443,NO ALCANZÓ VACANTE,FAUA
Postulante 132,ORDINARIO,10.683,NO ALCANZÓ VACANTE,FAUA
Postulante 133,ORDINARIO,11.273,NO ALCANZÓ VACANTE,FAUA
Postulante 134,ORDINARIO,3.540,NO ALCANZÓ VACANTE,FAUA
Postulante 135,ORDINARIO,4.743,NO ALCANZÓ VACANTE,FAUA
Postulante 136,ORDINARIO,7.439,NO ALCANZÓ VACANTE,FAUA
Postulante 137,ORDINARIO,3.498,NO ALCANZÓ VACANTE,FAUA
Postulante 138,ORDINARIO,5.648,NO ALCANZÓ VACANTE,FAUA
Postulante 139,ORDINARIO,8.030,NO ALCANZÓ VACANTE,FAUA
Postulante 140,ORDINARIO,6.565,NO ALCANZÓ VACANTE,FAUA
Postulante 141,ORDINARIO,11.568,NO ALCANZÓ VACANTE,FAUA
Postulante 142,ORDINARIO,9.026,NO ALCANZÓ VACANTE,FAUA
Postulante 143,ORDINARIO,2.304,NO ALCANZÓ VACANTE,FAUA
Postulante 144,ORDINARIO,2.378,NO ALCANZÓ VACANTE,FAUA
Postulante 145,ORDINARIO,1.871,NO ALCANZÓ VACANTE,FAUA
Postulante 146,ORDINARIO,7.589,NO ALCANZÓ VACANTE,FAUA
Postulante 147,ORDINARIO,5.563,NO ALCANZÓ VACANTE,FAUA
Postulante 148,ORDINARIO,10.121,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 149,ORDINARIO,12.535,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 150,ORDINARIO,6.668,NO ALCANZÓ VACANTE,FAUA
Postulante 151,ORDINARIO,2.280,NO ALCANZÓ VACANTE,FAUA
Postulante 152,ORDINARIO,6.749,NO ALCANZÓ VACANTE,FAUA
